Dataset,Acc,GM,MS,MAE,AMAE,MMAE,RSpearman,Tkendall,Wkappa,TrainTime,TestTime,CrossvalTime,
train_toy.0,40.888889,0.000000,0.000000,0.817778,1.000551,1.750000,0.418855,0.330542,0.291508,0.110000,0.000000,0.000000,
train_toy.1,36.000000,0.000000,0.000000,0.906667,1.083091,1.695652,0.314984,0.268455,0.228701,0.079000,0.000000,0.000000,
train_toy.10,26.666667,0.000000,0.000000,1.075556,1.219359,1.666667,0.165257,0.129788,0.081818,0.032000,0.000000,0.000000,
train_toy.11,31.555556,0.000000,0.000000,0.960000,1.137515,1.750000,0.273259,0.238819,0.178971,0.032000,0.000000,0.000000,
train_toy.12,40.444444,0.000000,0.000000,0.808889,0.984790,1.782609,0.445821,0.360324,0.297020,0.016000,0.000000,0.000000,
train_toy.13,36.000000,0.000000,0.000000,0.920000,1.089325,1.629630,0.300260,0.256491,0.218973,0.031000,0.000000,0.000000,
train_toy.14,31.555556,0.000000,0.000000,0.977778,1.136819,1.608696,0.255994,0.214280,0.160305,0.031000,0.000000,0.000000,
train_toy.15,36.888889,0.000000,0.000000,0.862222,1.019540,1.666667,0.404874,0.321898,0.263142,0.046000,0.000000,0.000000,
train_toy.16,36.444444,0.000000,0.000000,0.902222,1.066435,1.608696,0.338893,0.287947,0.230088,0.031000,0.000000,0.000000,
train_toy.17,35.555556,0.000000,0.000000,0.880000,1.009273,1.500000,0.395651,0.323483,0.253344,0.094000,0.000000,0.000000,
train_toy.18,34.666667,0.000000,0.000000,0.924444,1.063842,1.521739,0.319817,0.271121,0.217156,0.031000,0.000000,0.000000,
train_toy.19,36.444444,0.000000,0.000000,0.906667,1.065751,1.666667,0.333215,0.276672,0.227533,0.032000,0.000000,0.000000,
train_toy.2,39.111111,0.000000,0.000000,0.831111,0.984186,1.608696,0.433903,0.331646,0.277571,0.016000,0.000000,0.000000,
train_toy.20,30.666667,0.000000,0.000000,0.928889,1.104125,2.041667,0.473546,0.407795,0.179219,0.047000,0.000000,0.000000,
train_toy.21,29.777778,0.000000,0.000000,1.008889,1.176117,1.750000,0.222114,0.192510,0.136853,0.047000,0.000000,0.000000,
train_toy.22,39.555556,0.000000,0.000000,0.862222,1.019620,1.583333,0.371787,0.308440,0.267765,0.048000,0.000000,0.000000,
train_toy.23,39.555556,0.000000,0.000000,0.840000,1.013010,1.750000,0.408479,0.305569,0.269719,0.031000,0.000000,0.000000,
train_toy.24,31.555556,0.000000,0.000000,0.982222,1.168888,1.750000,0.245285,0.210019,0.156932,0.031000,0.000000,0.000000,
train_toy.25,40.444444,0.000000,0.000000,0.800000,0.957361,1.666667,0.461263,0.368155,0.311833,0.046000,0.000000,0.000000,
train_toy.26,36.888889,0.000000,0.000000,0.893333,1.059461,1.583333,0.350225,0.282683,0.236283,0.046000,0.000000,0.000000,
train_toy.27,32.888889,0.000000,0.000000,0.897778,1.078905,1.782609,0.393472,0.289165,0.193119,0.048000,0.000000,0.000000,
train_toy.28,31.111111,0.000000,0.000000,0.955556,1.120848,1.695652,0.319801,0.247724,0.162758,0.031000,0.000000,0.000000,
train_toy.29,35.111111,0.000000,0.000000,0.875556,1.045269,1.695652,0.387857,0.293892,0.222628,0.048000,0.000000,0.000000,
train_toy.3,34.666667,0.000000,0.000000,0.888889,1.006985,1.481481,0.386444,0.311804,0.247592,0.048000,0.000000,0.000000,
train_toy.4,24.888889,0.000000,0.000000,1.057778,1.207691,1.826087,0.176233,0.148669,0.078630,0.031000,0.000000,0.000000,
train_toy.5,35.555556,0.000000,0.000000,0.862222,1.033602,1.833333,0.427591,0.335461,0.244156,0.031000,0.000000,0.000000,
train_toy.6,39.555556,0.000000,0.000000,0.853333,1.005566,1.500000,0.379775,0.319642,0.276212,0.031000,0.000000,0.000000,
train_toy.7,41.333333,0.000000,0.000000,0.791111,0.938872,1.608696,0.466398,0.372777,0.313130,0.047000,0.000000,0.000000,
train_toy.8,36.888889,0.000000,0.000000,0.893333,1.043325,1.555556,0.341852,0.282649,0.240235,0.032000,0.000000,0.000000,
train_toy.9,27.555556,0.000000,0.000000,1.031111,1.178399,1.739130,0.190857,0.159601,0.101054,0.016000,0.000000,0.000000,
